"Plot Title: FORCRK_U"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20685714, SEN S/N: 20685714, LBL: Temp)","Bad Battery (LGR S/N: 20685714)","End Of File (LGR S/N: 20685714)"
484,07/17/22 13:30:00,6.268,,
485,07/17/22 14:00:00,5.962,,
486,07/17/22 14:30:00,5.757,,
487,07/17/22 15:00:00,5.655,,
488,07/17/22 15:30:00,5.757,,
489,07/17/22 16:00:00,5.655,,
490,07/17/22 16:30:00,5.552,,
491,07/17/22 17:00:00,5.450,,
492,07/17/22 17:30:00,5.347,,
493,07/17/22 18:00:00,5.244,,
494,07/17/22 18:30:00,5.244,,
495,07/17/22 19:00:00,5.141,,
496,07/17/22 19:30:00,5.037,,
497,07/17/22 20:00:00,4.934,,
498,07/17/22 20:30:00,4.831,,
499,07/17/22 21:00:00,4.623,,
500,07/17/22 21:30:00,4.623,,
501,07/17/22 22:00:00,4.623,,
502,07/17/22 22:30:00,4.623,,
503,07/17/22 23:00:00,4.623,,
504,07/17/22 23:30:00,4.519,,
505,07/18/22 00:00:00,4.519,,
506,07/18/22 00:30:00,4.415,,
507,07/18/22 01:00:00,4.311,,
508,07/18/22 01:30:00,4.311,,
509,07/18/22 02:00:00,4.207,,
510,07/18/22 02:30:00,4.102,,
511,07/18/22 03:00:00,4.102,,
512,07/18/22 03:30:00,3.998,,
513,07/18/22 04:00:00,3.998,,
514,07/18/22 04:30:00,3.893,,
515,07/18/22 05:00:00,3.893,,
516,07/18/22 05:30:00,3.788,,
517,07/18/22 06:00:00,3.788,,
518,07/18/22 06:30:00,3.893,,
519,07/18/22 07:00:00,3.998,,
520,07/18/22 07:30:00,4.207,,
521,07/18/22 08:00:00,4.415,,
522,07/18/22 08:30:00,4.519,,
523,07/18/22 09:00:00,4.623,,
524,07/18/22 09:30:00,4.831,,
525,07/18/22 10:00:00,5.347,,
526,07/18/22 10:30:00,5.757,,
527,07/18/22 11:00:00,6.166,,
528,07/18/22 11:30:00,6.573,,
529,07/18/22 12:00:00,6.775,,
530,07/18/22 12:30:00,6.978,,
531,07/18/22 13:00:00,7.179,,
532,07/18/22 13:30:00,7.381,,
533,07/18/22 14:00:00,7.481,,
534,07/18/22 14:30:00,7.481,,
535,07/18/22 15:00:00,7.582,,
536,07/18/22 15:30:00,7.582,,
537,07/18/22 16:00:00,7.582,,
538,07/18/22 16:30:00,7.481,,
539,07/18/22 17:00:00,7.280,,
540,07/18/22 17:30:00,6.978,,
541,07/18/22 18:00:00,6.877,,
542,07/18/22 18:30:00,6.775,,
543,07/18/22 19:00:00,6.674,,
544,07/18/22 19:30:00,6.573,,
545,07/18/22 20:00:00,6.268,,
546,07/18/22 20:30:00,5.962,,
547,07/18/22 21:00:00,5.552,,
548,07/18/22 21:30:00,5.244,,
549,07/18/22 22:00:00,4.831,,
550,07/18/22 22:30:00,4.519,,
551,07/18/22 23:00:00,4.519,,
552,07/18/22 23:30:00,4.519,,
553,07/19/22 00:00:00,4.415,,
554,07/19/22 00:30:00,4.415,,
555,07/19/22 01:00:00,4.415,,
556,07/19/22 01:30:00,4.415,,
557,07/19/22 02:00:00,4.415,,
558,07/19/22 02:30:00,4.415,,
559,07/19/22 03:00:00,4.519,,
560,07/19/22 03:30:00,4.311,,
561,07/19/22 04:00:00,4.207,,
562,07/19/22 04:30:00,4.102,,
563,07/19/22 05:00:00,4.102,,
564,07/19/22 05:30:00,4.102,,
565,07/19/22 06:00:00,3.998,,
566,07/19/22 06:30:00,3.998,,
567,07/19/22 07:00:00,4.207,,
568,07/19/22 07:30:00,4.415,,
569,07/19/22 08:00:00,4.727,,
570,07/19/22 08:30:00,5.037,,
571,07/19/22 09:00:00,5.552,,
572,07/19/22 09:30:00,5.962,,
573,07/19/22 10:00:00,6.471,,
574,07/19/22 10:30:00,6.877,,
575,07/19/22 11:00:00,7.079,,
576,07/19/22 11:30:00,7.381,,
577,07/19/22 12:00:00,7.582,,
578,07/19/22 12:30:00,7.882,,
579,07/19/22 13:00:00,7.983,,
580,07/19/22 13:30:00,8.182,,
581,07/19/22 14:00:00,8.382,,
582,07/19/22 14:30:00,8.581,,
583,07/19/22 15:00:00,8.581,,
584,07/19/22 15:30:00,8.581,,
585,07/19/22 16:00:00,8.581,,
586,07/19/22 16:30:00,8.581,,
587,07/19/22 17:00:00,8.382,,
588,07/19/22 17:30:00,8.282,,
589,07/19/22 18:00:00,8.182,,
590,07/19/22 18:30:00,7.983,,
591,07/19/22 19:00:00,7.682,,
592,07/19/22 19:30:00,7.381,,
593,07/19/22 20:00:00,7.079,,
594,07/19/22 20:30:00,6.775,,
595,07/19/22 21:00:00,6.370,,
596,07/19/22 21:30:00,5.962,,
597,07/19/22 22:00:00,5.552,,
598,07/19/22 22:30:00,5.244,,
599,07/19/22 23:00:00,5.037,,
600,07/19/22 23:30:00,4.831,,
601,07/20/22 00:00:00,4.727,,
602,07/20/22 00:30:00,4.623,,
603,07/20/22 01:00:00,4.519,,
604,07/20/22 01:30:00,4.415,,
605,07/20/22 02:00:00,4.311,,
606,07/20/22 02:30:00,4.311,,
607,07/20/22 03:00:00,4.415,,
608,07/20/22 03:30:00,4.415,,
609,07/20/22 04:00:00,4.415,,
610,07/20/22 04:30:00,4.311,,
611,07/20/22 05:00:00,4.207,,
612,07/20/22 05:30:00,4.102,,
613,07/20/22 06:00:00,4.102,,
614,07/20/22 06:30:00,3.998,,
615,07/20/22 07:00:00,4.207,,
616,07/20/22 07:30:00,4.519,,
617,07/20/22 08:00:00,4.727,,
618,07/20/22 08:30:00,5.037,,
619,07/20/22 09:00:00,5.347,,
620,07/20/22 09:30:00,5.552,,
621,07/20/22 10:00:00,5.860,,
622,07/20/22 10:30:00,6.166,,
623,07/20/22 11:00:00,6.471,,
624,07/20/22 11:30:00,6.775,,
625,07/20/22 12:00:00,7.079,,
626,07/20/22 12:30:00,7.381,,
